iter	Passed	Remaining
145	13951	81605
146	14010	81301
147	14106	81204
148	14181	80997
149	14260	80808
150	14346	80664
151	14406	80370
152	14478	80153
153	14531	79830
154	14594	79563
155	14682	79438
156	14777	79348
157	14831	79041
158	14917	78905
159	15018	78846
160	15081	78591
161	15174	78497
162	15241	78265
163	15308	78036
164	15390	77883
165	15444	77597
166	15513	77383
167	15571	77116
168	15608	76750
169	15672	76517
170	15778	76493
171	15858	76340
172	15969	76339
173	16019	76047
174	16092	75866
175	16173	75723
176	16251	75563
177	16339	75454
178	16410	75270
179	16486	75104
180	16569	74974
181	16649	74830
182	16756	74808
183	16835	74663
184	16899	74447
185	16999	74394
186	17072	74225
187	17166	74146
188	17242	73989
189	17317	73829
190	17431	73831
191	17587	74012
192	17687	73958
193	17787	73899
194	17898	73890
195	18019	73917
196	18082	73705
197	18156	73543
198	18229	73376
199	18302	73211
200	18363	72997
201	18422	72776
202	18515	72693
203	18585	72521
204	18664	72380
205	18732	72201
206	18839	72174
207	18911	72010
208	19012	71956
209	19101	71858
210	19195	71779
211	19259	71588
212	19333	71433
213	19408	71286
214	19499	71195
215	19604	71158
216	19683	71024
217	19795	71009
218	19861	70831
219	19949	70731
220	20025	70588
221	20101	70446
222	20194	70364
223	20297	70316
224	20381	70204
225	20451	70041
226	20566	70033
227	20667	69980
228	20766	69915
229	20850	69804
230	20921	69648
231	20978	69446
232	21053	69304
233	21148	69230
234	21244	69158
235	21347	69106
236	21422	68966
237	21501	68841
238	21567	68672
239	21641	68531
240	21744	68481
241	21807	68307
242	21870	68131
243	21934	67959
244	22009	67825
245	22074	67660
246	22167	67578
247	22224	67389
248	22294	67242
249	22400	67202
250	22493	67120
251	22576	67012
252	22640	66846
253	22716	66718
254	22808	66637
255	22863	66447
256	22974	66419
257	23041	66267
258	23091	66065
259	23163	65926
260	23237	65794
261	23305	65646
262	23379	65515
263	23441	65353
264	23496	65169
265	23596	65113
266	23662	64960
267	23762	64903
268	23905	64963
269	23957	64772
270	24055	64710
271	24114	64542
272	24194	64429
273	24289	64357
274	24356	64213
275	24425	64073
276	24496	63938
277	24539	63733
278	24608	63593
279	24659	63411
280	24734	63288
281	24805	63156
282	24876	63025
283	24996	63019
284	25086	62935
285	25169	62835
286	25280	62805
287	25363	62704
288	25437	62581
289	25522	62485
290	25664	62529
291	25764	62470
292	25884	62459
293	25956	62331
294	26043	62240
295	26172	62248
296	26314	62285
297	26410	62215
298	26523	62185
299	26625	62125
300	26723	62058
301	26843	62041
302	26939	61970
303	27047	61925
304	27179	61933
305	27301	61918
306	27417	61891
307	27501	61788
308	27574	61663
309	27664	61575
310	27760	61500
311	27882	61483
312	27968	61387
313	28054	61290
314	28133	61179
315	28190	61019
316	28295	60964
317	28369	60841
318	28467	60771
319	28598	60770
320	28674	60654
321	28783	60607
322	28864	60499
323	28952	60406
324	29224	60696
325	29387	60757
326	29501	60717
327	29567	60576
328	29653	60478
329	29719	60338
330	29803	60236
331	29907	60174
332	29964	60019
333	30121	60061
334	30208	59966
335	30325	59928
336	30422	59851
337	30510	59757
338	30597	59661
339	30671	59538
340	30755	59435
341	30852	59360
342	30954	59292
343	31053	59218
344	31175	59187
345	31268	59102
346	31403	59096
347	31519	59053
348	31618	58978
349	31688	58849
350	31800	58799
351	31922	58767
352	31983	58621
353	32090	58560
354	32190	58487
355	32282	58398
356	32378	58317
357	32499	58280
358	32585	58181
359	32634	58016
360	32720	57917
361	32802	57811
362	32990	57892
363	33130	57886
364	33389	58087
365	33528	58079
366	33646	58033
367	33714	57900
368	33792	57786
369	33933	57779
370	34143	57886
371	34444	58148
372	34623	58200
373	34712	58101
374	34803	58006
375	34888	57900
376	34947	57750
377	35017	57621
378	35167	57623
379	35242	57500
380	35315	57376
381	35429	57318
382	35479	57156
383	35536	57007
384	35592	56855
385	35671	56741
386	35733	56601
387	35787	56449
388	35845	56301
389	35894	56142
390	35950	55995
391	35999	55836
392	36056	55690
393	36103	55530
394	36156	55379
395	36208	55226
396	36247	55055
397	36286	54885
398	36356	54761
399	36388	54582
400	36425	54411
401	36474	54258
402	36537	54125
403	36609	54007
404	36665	53866
405	36728	53735
406	36785	53596
407	36838	53451
408	36896	53315
409	36991	53232
410	37065	53117
411	37142	53009
412	37211	52889
413	37287	52779
414	37355	52658
415	37433	52550
416	37535	52477
417	37601	52353
418	37667	52231
419	37813	52218
420	37910	52138
421	38023	52080
422	38159	52051
423	38410	52180
424	38537	52138
425	38664	52097
426	38788	52051
427	38875	51954
428	38995	51903
429	39093	51822
430	39209	51763
431	39272	51636
432	39359	51539
433	39476	51483
434	39593	51426
435	39794	51477
436	39924	51435
437	40014	51342
438	40167	51330
439	40274	51258
440	40408	51220
441	40577	51226
442	40754	51241
443	40845	51148
444	40943	51064
445	41052	50993
446	41139	50895
447	41227	50798
448	41348	50742
449	41434	50642
450	41505	50524
451	41571	50400
452	41632	50270
453	41721	50176
454	41821	50093
455	41985	50088
456	42074	49992
457	42145	49875
458	42230	49774
459	42390	49762
460	42470	49656
461	42591	49597
462	42673	49493
463	42783	49422
464	42871	49325
465	42951	49218
466	43070	49158
467	43179	49084
468	43242	48959
469	43370	48906
470	43455	48806
471	43625	48800
472	43775	48772
473	43882	48697
474	44021	48655
475	44114	48562
476	44202	48465
477	44342	48424
478	44434	48330
479	44544	48256
480	44659	48187
481	44748	48090
482	44829	47985
483	45017	47993
484	45128	47920
485	45292	47902
486	45401	47825
487	45528	47768
488	45670	47725
489	45791	47660
490	45850	47531
491	45941	47435
492	46021	47328
493	46092	47212
494	46181	47114
495	46268	47014
496	46372	46932
497	46465	46839
498	46585	46772
499	46688	46688
500	46812	46625
501	46949	46575
502	47071	46509
503	47187	46438
504	47331	46394
505	47464	46338
506	47667	46351
507	47775	46270
508	47892	46199
509	47988	46106
510	48134	46062
511	48238	45977
512	48363	45911
513	48485	45843
514	48628	45795
515	48730	45708
516	48818	45608
517	48904	45505
518	48983	45396
519	49081	45305
520	49155	45192
521	49227	45077
522	49334	44995
523	49505	44970
524	49609	44884
525	49695	44782
526	49848	44740
527	49922	44628
528	50023	44539
529	50149	44472
530	50375	44493
531	50718	44617
532	50902	44599
533	51011	44516
534	51165	44470
535	51293	44403
536	51363	44285
537	51529	44250
538	51648	44174
539	51884	44197
540	52104	44206
541	52191	44102
542	52308	44024
543	52415	43936
544	52523	43849
545	52649	43778
546	52758	43692
547	52843	43586
548	52919	43473
549	53030	43388
550	53146	43307
551	53260	43225
552	53555	43290
553	53738	43262
554	53859	43184
555	53979	43105
556	54093	43022
557	54217	42946
558	54332	42863
559	54526	42842
560	54684	42791
561	54807	42714
562	55035	42718
563	55105	42599
564	55224	42518
565	55320	42419
566	55421	42323
567	55495	42207
568	55589	42107
569	55670	41997
570	55946	42033
571	56054	41942
572	56129	41828
573	56199	41709
574	56267	41588
575	56350	41480
576	56421	41362
577	56469	41228
578	56528	41102
579	56583	40974
580	56638	40845
581	56717	40735
582	56767	40603
583	56816	40471
584	57049	40470
585	57142	40370
586	57219	40258
587	57281	40136
588	57333	40006
589	57414	39897
590	57465	39768
591	57519	39641
592	57580	39519
593	57632	39391
594	57690	39268
595	57744	39142
596	57817	39029
597	57907	38927
598	58026	38845
599	58116	38744
600	58221	38652
601	58330	38564
602	58412	38457
603	58517	38365
604	58608	38265
605	58689	38157
606	58783	38058
607	58933	37996
608	59055	37915
609	59142	37812
610	59210	37697
611	59286	37586
612	59333	37458
613	59389	37336
614	59457	37221
615	59509	37097
616	59555	36968
617	59628	36857
618	59707	36750
619	59754	36623
620	59805	36499
621	59871	36385
622	59930	36266
623	59980	36142
624	60029	36017
625	60081	35895
626	60176	35798
627	60230	35678
628	60283	35556
629	60352	35444
630	60402	35322
631	60456	35202
632	60533	35096
633	60614	34991
634	60676	34877
635	60749	34768
636	60799	34647
637	60851	34526
638	60902	34406
639	60951	34285
640	61013	34171
641	61072	34055
642	61148	33950
643	61198	33830
644	61261	33717
645	61342	33615
646	61412	33506
647	61474	33393
648	61543	33284
649	61594	33166
650	61660	33055
651	61712	32938
652	61795	32837
653	62017	32810
654	62122	32721
655	62269	32653
656	62359	32556
657	62454	32461
658	62550	32366
659	62674	32286
660	62821	32218
661	62892	32111
662	62991	32018
663	63122	31941
664	63277	31876
665	63420	31805
666	63523	31713
667	63615	31617
668	63672	31503
669	63778	31413
670	63886	31324
671	64078	31276
672	64172	31180
673	64294	31097
674	64367	30991
675	64466	30898
676	64587	30815
677	64724	30739
678	64813	30640
679	64897	30540
680	65017	30456
681	65157	30381
682	65422	30364
683	65516	30267
684	65580	30157
685	65652	30050
686	65720	29942
687	65777	29829
688	65850	29723
689	65926	29618
690	66008	29517
691	66260	29491
692	66548	29480
693	66859	29479
694	67109	29450
695	67200	29351
696	67324	29267
697	67401	29162
698	67499	29066
699	67571	28959
700	67647	28853
701	67739	28755
702	67848	28664
703	67916	28555
704	68005	28456
705	68078	28349
706	68148	28242
707	68226	28138
708	68361	28057
709	68493	27976
710	68621	27892
711	68716	27795
712	68796	27692
713	68848	27578
714	68944	27481
715	69015	27374
716	69093	27271
717	69167	27165
718	69246	27063
719	69316	26956
720	69394	26853
721	69487	26755
722	69559	26649
723	69642	26548
724	69707	26440
725	69788	26338
726	69855	26231
727	70117	26197
728	70239	26110
729	70337	26015
730	70407	25909
731	70498	25810
732	70585	25711
733	70664	25608
734	70734	25502
735	70814	25400
736	70889	25297
737	70963	25193
738	71034	25087
739	71101	24981
740	71179	24879
741	71235	24769
742	71294	24660
743	71364	24555
744	71486	24468
745	71533	24355
746	71607	24252
747	71674	24146
748	71781	24054
749	71872	23957
750	71950	23855
751	72029	23754
752	72102	23651
753	72179	23549
754	72277	23454
755	72358	23353
756	72473	23264
757	72541	23159
758	72623	23059
759	72676	22950
760	72745	22846
761	72808	22740
762	72878	22637
763	72935	22529
764	73034	22435
765	73126	22338
766	73199	22236
767	73270	22133
768	73346	22032
769	73430	21933
770	73521	21836
771	73594	21735
772	73682	21637
773	73772	21540
774	73866	21444
775	73944	21344
776	74021	21244
777	74090	21141
778	74172	21042
779	74259	20945
780	74324	20841
781	74389	20737
782	74471	20638
783	74532	20534
784	74614	20435
785	74686	20334
786	74764	20234
787	74818	20128
788	74909	20032
789	74990	19934
790	75093	19841
791	75163	19739
792	75219	19634
793	75308	19538
794	75376	19436
795	75440	19333
796	75510	19232
797	75587	19133
798	75660	19033
799	75731	18932
800	75809	18834
801	75862	18729
802	75930	18628
803	76009	18529
804	76089	18431
805	76177	18335
806	76251	18236
807	76323	18136
808	76456	18050
809	76510	17946
810	76598	17850
811	76671	17751
812	76758	17655
813	76833	17556
814	76924	17461
815	76998	17362
816	77103	17270
817	77170	17169
818	77252	17072
819	77318	16972
820	77394	16874
821	77454	16772
822	77520	16672
823	77592	16573
824	77670	16475
825	77744	16377
826	77819	16279
827	77891	16180
828	77958	16080
829	78026	15981
830	78093	15881
831	78152	15780
832	78245	15686
833	78314	15587
834	78393	15490
835	78489	15397
836	78542	15295
837	78603	15195
838	78665	15095
839	78745	14999
840	78802	14898
841	78861	14798
842	78921	14698
843	78999	14601
844	79064	14502
845	79141	14406
846	79206	14307
847	79287	14211
848	79351	14113
849	79438	14018
850	79493	13918
851	79554	13819
852	79607	13718
853	79682	13622
854	79736	13522
855	79811	13426
856	79889	13330
857	79968	13234
858	80063	13141
859	80134	13045
860	80209	12949
861	80286	12853
862	80334	12753
863	80384	12653
864	80457	12556
865	80530	12460
866	80599	12364
867	80658	12266
868	80712	12167
869	80781	12070
870	80834	11971
871	80898	11875
872	80955	11777
873	81009	11678
874	81104	11586
875	81176	11490
876	81246	11394
877	81308	11297
878	81379	11202
879	81437	11105
880	81523	11011
881	81606	10917
882	81686	10823
883	81758	10728
884	81827	10632
885	81898	10537
886	81947	10439
887	82028	10345
888	82106	10251
889	82184	10157
890	82238	10060
891	82317	9966
892	82379	9870
893	82453	9776
894	82515	9680
895	82576	9584
896	82637	9489
897	82702	9393
898	82779	9300
899	82870	9207
900	82970	9116
901	83025	9020
902	83093	8925
903	83161	8831
904	83236	8737
905	83291	8641
906	83360	8547
907	83418	8452
908	83485	8357
909	83546	8262
910	83609	8168
911	83686	8075
912	83754	7981
913	83819	7886
914	83923	7796
915	83996	7702
916	84096	7611
917	84181	7519
918	84258	7426
919	84309	7331
920	84358	7235
921	84433	7142
922	84482	7047
923	84531	6952
924	84599	6859
925	84678	6766
926	84727	6672
927	84796	6579
928	84860	6485
929	84917	6391
930	84984	6298
931	85087	6208
932	85157	6115
933	85228	6022
934	85296	5929
935	85367	5837
936	85433	5744
937	85495	5651
938	85557	5558
939	85613	5464
940	85684	5372
941	85750	5279
942	85810	5186
943	85884	5094
944	85945	5002
945	86038	4911
946	86104	4818
947	86158	4725
948	86220	4633
949	86284	4541
950	86349	4449
951	86451	4358
952	86537	4267
953	86616	4176
954	86674	4084
955	86740	3992
956	86802	3900
957	86845	3807
958	86896	3715
959	86950	3622
960	87013	3531
961	87100	3440
962	87178	3349
963	87243	3258
964	87307	3166
965	87371	3075
966	87433	2983
967	87488	2892
968	87543	2800
969	87607	2709
970	87673	2618
971	87737	2527
972	87793	2436
973	87854	2345
974	87908	2254
975	87953	2162
976	88008	2071
977	88067	1981
978	88131	1890
979	88189	1799
980	88235	1708
981	88282	1618
982	88337	1527
983	88398	1437
984	88457	1347
985	88517	1256
986	88566	1166
987	88606	1076
988	88670	986
989	88725	896
990	88774	806
991	88821	716
992	88868	626
993	88923	536
994	88961	447
995	89012	357
996	89058	267
997	89104	178
998	89138	89
999	89192	0
